Flight_ID,Flight_Date,Departure_Airport,Arrival_Airport,Booking_Date,Fare_Class,Ticket_Price,Booking_Channel,No_Show
F103,2025-06-01 00:00:00,LAX,SEA,2025-05-01 00:00:00,Premium,559,Web,0
F104,2025-06-01 01:00:00,ORD,BOS,2025-05-01 01:00:00,Premium,500,App,0
F101,2025-06-01 02:00:00,JFK,MIA,2025-05-01 02:00:00,Economy,650,App,0
F103,2025-06-01 03:00:00,JFK,BOS,2025-05-01 03:00:00,Economy,492,App,0
F103,2025-06-01 04:00:00,JFK,BOS,2025-05-01 04:00:00,Premium,966,Web,0
F104,2025-06-01 05:00:00,JFK,SEA,2025-05-01 05:00:00,Economy,863,App,0
F101,2025-06-01 06:00:00,DFW,BOS,2025-05-01 06:00:00,Economy,944,Web,0
F101,2025-06-01 07:00:00,JFK,SEA,2025-05-01 07:00:00,Premium,306,Web,0
F103,2025-06-01 08:00:00,DFW,ATL,2025-05-01 08:00:00,Economy,309,Agent,0
F102,2025-06-01 09:00:00,DFW,ATL,2025-05-01 09:00:00,Business,214,App,0
F103,2025-06-01 10:00:00,JFK,SEA,2025-05-01 10:00:00,Business,836,Web,0
F103,2025-06-01 11:00:00,JFK,ATL,2025-05-01 11:00:00,Business,745,App,0
F103,2025-06-01 12:00:00,LAX,MIA,2025-05-01 12:00:00,Business,350,App,0
F103,2025-06-01 13:00:00,ORD,BOS,2025-05-01 13:00:00,Premium,318,Agent,0
F104,2025-06-01 14:00:00,JFK,MIA,2025-05-01 14:00:00,Premium,506,App,0
F101,2025-06-01 15:00:00,LAX,BOS,2025-05-01 15:00:00,Premium,542,Agent,1
F104,2025-06-01 16:00:00,LAX,ATL,2025-05-01 16:00:00,Business,702,Web,0
F104,2025-06-01 17:00:00,ORD,MIA,2025-05-01 17:00:00,Business,453,App,0
F104,2025-06-01 18:00:00,DFW,ATL,2025-05-01 18:00:00,Economy,987,Web,1
F103,2025-06-01 19:00:00,JFK,BOS,2025-05-01 19:00:00,Economy,657,App,0
F102,2025-06-01 20:00:00,ORD,SEA,2025-05-01 20:00:00,Business,649,Web,0
F101,2025-06-01 21:00:00,JFK,SEA,2025-05-01 21:00:00,Business,241,App,0
F102,2025-06-01 22:00:00,LAX,MIA,2025-05-01 22:00:00,Business,711,App,0
F104,2025-06-01 23:00:00,LAX,ATL,2025-05-01 23:00:00,Business,600,App,0
F104,2025-06-02 00:00:00,DFW,ATL,2025-05-02 00:00:00,Economy,939,App,0
F102,2025-06-02 01:00:00,LAX,MIA,2025-05-02 01:00:00,Business,801,App,1
F102,2025-06-02 02:00:00,LAX,SEA,2025-05-02 02:00:00,Economy,646,App,1
F102,2025-06-02 03:00:00,ORD,BOS,2025-05-02 03:00:00,Business,758,App,0
